date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:41	25133/25133	---M--	200	added ('OK')	text/html	etag:%22622d-5cc24ba57a8c0%22	https://mobidrive.com.br/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/index.html	(from )
18:05:41	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/robots.txt		(from )
18:05:42	56305/56305	---M--	200	added ('OK')	image/png	etag:%22dbf1-5cc2418595280%22	https://mobidrive.com.br/assets/img/favicon.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/favicon.png	(from https://mobidrive.com.br/)
18:05:42	106077/106077	---M--	200	added ('OK')	image/png	etag:%2219e5d-5cc2418385530%22	https://mobidrive.com.br/assets/img/apple-touch-icon.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/img/apple-touch-icon.png	(from https://mobidrive.com.br/)
18:05:42	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/assets/vendor/aos/aos.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/aos/aos.css	(from https://mobidrive.com.br/)
18:05:42	155631/155631	---M--	200	added ('OK')	text/css	etag:%2225fef-5cc2419853020%22	https://mobidrive.com.br/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://mobidrive.com.br/)
18:05:43	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://mobidrive.com.br/)
18:05:43	63235/63235	---M--	200	added ('OK')	text/css	etag:%22f703-5cc241a07e510%22	https://mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css	(from https://mobidrive.com.br/)
18:05:43	13746/13746	---M--	200	added ('OK')	text/css	etag:%2235b2-5cc241a3e71e8%22	https://mobidrive.com.br/assets/vendor/glightbox/css/glightbox.min.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/glightbox/css/glightbox.min.css	(from https://mobidrive.com.br/)
18:05:43	13871/13871	---M--	200	added ('OK')	text/css	etag:%22362f-5cc2419119e30%22	https://mobidrive.com.br/assets/vendor/swiper/swiper-bundle.min.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/swiper/swiper-bundle.min.css	(from https://mobidrive.com.br/)
